accession,experiment.accession,experiment.title,experiment.platform,experiment.instrument,study.accession,study.title,study.abstract,sample.accession,sample.title,sample.organism,sample.attributes.source_name,sample.attributes.cell line,sample.attributes.ENA-FIRST-PUBLIC,sample.attributes.ENA-LAST-UPDATE,title,files,sample.attributes.cell type,sample.attributes.genotype,sample.attributes.age,sample.attributes.Sex,sample.attributes.tissue,sample.attributes.ENA-SPOT-COUNT,sample.attributes.ENA-BASE-COUNT,sample.attributes.protocol,sample.attributes.location,sample.attributes.strain
SRR12507504,SRX8998538,Illumina HiSeq 2500 paired end sequencing; GSM4743488: 1_iPS; Homo sapiens; RNA-Seq,ILLUMINA,Illumina HiSeq 2500,SRP278617,Grafting induced pluripotent stem cells-derived tenocytes contribute to recovery of motor function after Achilles tendon rupture in rat [single cell RNAseq],"Self-renewal of tendons is rare since the vascular formation inside is extremely poor, thus reconstructive surgery using autologous tendons has been often taken place in the case of severe injury. However, the rate of re-injury after surgery is relatively high, and collection of autologous tendons leads muscle weakness which results in prolonged rehabilitation. Here, we introduce the induced pluripotent stem cells (iPSCs)-based technology aiming at developing a new therapeutic option after tendon injury. We derived tenocytes from human iPSCs by recapitulating the normal progression of step-wise narrowing fate decisions in the vertebrate embryo. We used single-cell RNA sequencing to analyze the developmental trajectory of iPSCs-derived tenocytes. Overall design: Single cell rnaseq analysis of the developmental trajectory of iPSC-derived tenocytes",SRS7251319,1_iPS,Homo sapiens,induced pluripotent stem cell,"Human iPS cell line, 1231A3",2021-07-21,2021-07-21,Illumina HiSeq 2500 paired end sequencing; GSM4743488: 1_iPS; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12507504/SRR12507504.fastq.gz', 'md5': 'e1d61b64bf8d605e943364d49faccb0f', 'size': '20300987846'}]",,,,,,,,,,
SRR17818837,SRX13980727,NextSeq 500 paired end sequencing; GSM5848693: MSK74711 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818050,MSK74711 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848693: MSK74711 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/037/SRR17818837/SRR17818837.fastq.gz', 'md5': 'e930d5963bce086f5bf4c3b047141630', 'size': '4925031043'}]",mouse PDX sample,Mutation?,,,,274599868,15102992740,,,
SRR17818838,SRX13980727,NextSeq 500 paired end sequencing; GSM5848693: MSK74711 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818050,MSK74711 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848693: MSK74711 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/038/SRR17818838/SRR17818838.fastq.gz', 'md5': '51650744688bc49f62917ac77b666c7f', 'size': '4941094757'}]",mouse PDX sample,Mutation?,,,,274599868,15102992740,,,
SRR17818839,SRX13980727,NextSeq 500 paired end sequencing; GSM5848693: MSK74711 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818050,MSK74711 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848693: MSK74711 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/039/SRR17818839/SRR17818839.fastq.gz', 'md5': '48aea2e9adefcddca51f0e1368012293', 'size': '5082307001'}]",mouse PDX sample,Mutation?,,,,274599868,15102992740,,,
SRR17818840,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/040/SRR17818840/SRR17818840_1.fastq.gz', 'md5': '60c61fe45fa505bc710015927dff6cc4', 'size': '1164142968'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/040/SRR17818840/SRR17818840_2.fastq.gz', 'md5': '4298b456c46711104cfa67744de5f37d', 'size': '1467778221'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818841,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/041/SRR17818841/SRR17818841_1.fastq.gz', 'md5': '512cb35c8325d7316cb4fc577da3447e', 'size': '1170063413'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/041/SRR17818841/SRR17818841_2.fastq.gz', 'md5': '73fc3403196ad07c814b6ad9c5faf5ff', 'size': '1499182149'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818842,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/042/SRR17818842/SRR17818842_1.fastq.gz', 'md5': '99d0974d5e499dbe2c36add6e6785f96', 'size': '1054251293'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/042/SRR17818842/SRR17818842_2.fastq.gz', 'md5': 'b19147cbc153c03e76e0c3ad3449d13c', 'size': '1652209286'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818843,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/043/SRR17818843/SRR17818843_1.fastq.gz', 'md5': '1f22f1ce9d5a777f3e5e4c5a64a383d0', 'size': '254652982'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/043/SRR17818843/SRR17818843_2.fastq.gz', 'md5': '18460fe487e490963b37f18e23be8af4', 'size': '431081865'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818844,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/044/SRR17818844/SRR17818844_1.fastq.gz', 'md5': 'f3c36eefd1e4bbda5dc338efed0120b7', 'size': '1170397951'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/044/SRR17818844/SRR17818844_2.fastq.gz', 'md5': '6ebc31e4bc9ed9427ff1c51e662ff9a3', 'size': '1501598299'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818845,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/045/SRR17818845/SRR17818845_1.fastq.gz', 'md5': 'a859915fc476b8ac9557573b992b1991', 'size': '1171094328'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/045/SRR17818845/SRR17818845_2.fastq.gz', 'md5': '7adcbd4e691891ea751c8bf087fbf7fa', 'size': '1518473813'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818846,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/046/SRR17818846/SRR17818846_1.fastq.gz', 'md5': 'df571f4d31582a7f31c8b115425a7151', 'size': '1056779424'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/046/SRR17818846/SRR17818846_2.fastq.gz', 'md5': '966933ae0cbbb7b9015fa9674a4d8be0', 'size': '1687636860'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818847,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/047/SRR17818847/SRR17818847_1.fastq.gz', 'md5': '062adb6fef35e0e79d70ccea56ff0e34', 'size': '218409188'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/047/SRR17818847/SRR17818847_2.fastq.gz', 'md5': '2d82eae5e797c920f0ecb34bae4389f5', 'size': '372008413'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818848,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/048/SRR17818848/SRR17818848_1.fastq.gz', 'md5': '79e034e8e59bd739b7d6f34b49de5109', 'size': '1165822918'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/048/SRR17818848/SRR17818848_2.fastq.gz', 'md5': '7bf893ad4d2e1b28b1c3b40a4e44f319', 'size': '1479211787'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
SRR17818849,SRX13980726,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,ILLUMINA,NextSeq 500,SRP357388,Stem cell and developmental hierarchies in rhabdomyosarcoma,"Rhabdomyosarcoma (RMS) is the most common soft-tissue sarcoma of childhood and is comprised of two major molecular subtypes. Despite sharing features with skeletal muscle, the conservation of underlying cellular hierarchy with human muscle development and the identification of molecularly-defined tumor-propagating cells have not been reported. Using single-cell RNA sequencing of patient-derived RMS, DNA-barcode cell fate mapping, and antibody enrichment and functional stem cell assays using in vitro culture and mouse xenografts, we have uncovered tumor cell hierarchies in Fusion-negative (FN-) RMS that are shared with normal human muscle development.  We also identified common developmental stages at which tumor cells become arrested.  FN-RMS resemble early muscle found in embryonic and larval development, while fusion-positive (FP-)RMS express a highly specific developmental gene program found in muscle cells transiting from embryonic to fetal development at 7-7.75 weeks of age.  FP-RMS also have neural-pathway enriched cell states, suggesting less-rigid adherence to muscle development hierarchies in this disease.  Finally, we identify a molecularly-defined tumor-propagating cell in FN-RMS that shares remarkable similarity to the newly described bi-potent, muscle mesenchyme stem/progenitor cell that makes both muscle and osteogenic cells. Overall design: Single cell RNA-seq profiling and lineage tracing of Rhabdomyosarcoma PDX, cell line and primary patient samples",SRS11818049,MSK82489 PDX sample,Homo sapiens,Rhabdomyosarcoma,,2022-02-06,2022-02-06,NextSeq 500 paired end sequencing; GSM5848694: MSK82489 PDX sample; Homo sapiens; RNA-Seq,"[{'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/049/SRR17818849/SRR17818849_1.fastq.gz', 'md5': 'e665e74a67bea1785881eff5bfcf7710', 'size': '1048194424'}, {'url': 'ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/049/SRR17818849/SRR17818849_2.fastq.gz', 'md5': '09204b4f701f7d707c47845995013395', 'size': '1615775156'}]",mouse PDX sample,Wild type,,,,210135734,17344283747,,,
